PageName,MIN,MAX,RANGE,MEAN,STD,MEDIAN,PCT90,Buried_Arc,Longitude,Latitude
AU60,-0.23,0.57,0.79,0.15,0.11,0.15,0.30,1,716077.00,4339166.00
AU61,-0.20,0.61,0.81,0.23,0.10,0.23,0.35,1,716082.00,4339166.00
AV47,-0.36,0.70,1.05,0.21,0.11,0.21,0.35,0,716012.00,4339161.00
AV48,-0.29,0.59,0.88,0.21,0.10,0.21,0.34,0,716017.00,4339161.00
AV49,-0.30,0.66,0.97,0.18,0.11,0.17,0.32,0,716022.00,4339161.00
AV50,-0.20,0.53,0.73,0.17,0.09,0.17,0.29,0,716027.00,4339161.00
AV51,-0.24,0.86,1.10,0.23,0.11,0.23,0.36,0,716032.00,4339161.00
AV52,-0.22,0.61,0.83,0.15,0.09,0.15,0.27,0,716037.00,4339161.00
AV53,-0.26,0.66,0.92,0.20,0.09,0.20,0.31,0,716042.00,4339161.00
AV54,-0.32,0.77,1.09,0.19,0.11,0.19,0.34,0,716047.00,4339161.00
AV55,-0.32,0.59,0.91,0.17,0.11,0.16,0.32,0,716052.00,4339161.00
AV56,-0.20,0.52,0.72,0.10,0.09,0.09,0.21,0,716057.00,4339161.00
AV57,-0.19,0.70,0.89,0.12,0.12,0.11,0.29,0,716062.00,4339161.00
AV58,-0.22,0.54,0.76,0.16,0.11,0.16,0.30,0,716067.00,4339161.00
AV59,-0.23,0.52,0.76,0.13,0.10,0.14,0.26,0,716072.00,4339161.00
AV60,-0.24,0.57,0.81,0.15,0.10,0.15,0.28,1,716077.00,4339161.00
AV61,-0.13,0.60,0.72,0.25,0.09,0.25,0.36,1,716082.00,4339161.00
AV62,-0.21,0.84,1.05,0.26,0.14,0.25,0.43,1,716087.00,4339161.00
AW47,-0.23,0.57,0.80,0.23,0.09,0.23,0.34,0,716012.00,4339156.00
AW48,-0.23,0.49,0.72,0.20,0.08,0.21,0.31,0,716017.00,4339156.00
AW49,-0.29,0.59,0.88,0.17,0.10,0.17,0.29,0,716022.00,4339156.00
AW50,-0.19,0.55,0.74,0.20,0.08,0.20,0.31,0,716027.00,4339156.00
AW51,-0.27,0.64,0.91,0.15,0.13,0.15,0.32,0,716032.00,4339156.00
AW52,-0.38,0.68,1.07,0.11,0.13,0.10,0.30,0,716037.00,4339156.00
AW53,-0.22,0.62,0.84,0.22,0.08,0.23,0.32,0,716042.00,4339156.00
AW54,-0.12,0.78,0.90,0.28,0.12,0.28,0.43,0,716047.00,4339156.00
AW55,-0.28,0.60,0.88,0.18,0.11,0.17,0.32,0,716052.00,4339156.00
AW56,-0.21,0.69,0.90,0.17,0.11,0.17,0.33,0,716057.00,4339156.00
AW57,-0.20,0.88,1.08,0.20,0.13,0.21,0.37,0,716062.00,4339156.00
AW58,-0.18,0.52,0.70,0.18,0.09,0.19,0.30,1,716067.00,4339156.00
AW59,-0.16,0.48,0.64,0.20,0.08,0.20,0.29,0,716072.00,4339156.00
AW61,-0.30,0.60,0.90,0.24,0.10,0.25,0.37,1,716082.00,4339156.00
AW62,-0.16,0.58,0.74,0.24,0.09,0.24,0.35,1,716087.00,4339156.00
AW63,-0.35,1.00,1.35,0.28,0.13,0.27,0.44,1,716092.00,4339156.00
AX47,-0.50,0.60,1.10,0.24,0.11,0.24,0.37,0,716012.00,4339151.00
AX48,-0.32,0.63,0.95,0.22,0.11,0.23,0.36,0,716017.00,4339151.00
AX49,-0.39,0.58,0.97,0.19,0.11,0.19,0.32,0,716022.00,4339151.00
AX50,-0.22,0.79,1.01,0.24,0.09,0.23,0.35,0,716027.00,4339151.00
AX51,-0.15,0.65,0.80,0.23,0.08,0.22,0.33,0,716032.00,4339151.00
AX52,-0.15,0.62,0.77,0.26,0.09,0.26,0.37,0,716037.00,4339151.00
AX53,-0.03,0.52,0.55,0.27,0.07,0.28,0.36,0,716042.00,4339151.00
AX54,-0.11,0.71,0.82,0.24,0.09,0.24,0.35,0,716047.00,4339151.00
AX55,-0.20,0.79,1.00,0.21,0.12,0.21,0.37,0,716052.00,4339151.00
AX56,-0.19,0.64,0.83,0.18,0.11,0.18,0.32,0,716057.00,4339151.00
AX57,-0.13,0.91,1.05,0.23,0.10,0.23,0.35,1,716062.00,4339151.00
AX58,-0.20,0.61,0.81,0.09,0.10,0.09,0.23,1,716067.00,4339151.00
AX59,-0.24,0.46,0.70,0.10,0.09,0.10,0.22,1,716072.00,4339151.00
AX61,-0.27,0.54,0.81,0.22,0.09,0.22,0.33,1,716082.00,4339151.00
AX62,-0.08,0.56,0.63,0.27,0.08,0.27,0.37,1,716087.00,4339151.00
AX63,-0.17,0.72,0.90,0.27,0.10,0.27,0.39,1,716092.00,4339151.00
AX64,-0.09,0.66,0.75,0.27,0.09,0.27,0.39,1,716097.00,4339151.00
AY47,-0.43,0.99,1.42,0.22,0.15,0.22,0.41,0,716012.00,4339146.00
AY48,-0.44,0.85,1.28,0.24,0.13,0.24,0.39,0,716017.00,4339146.00
AY49,-0.48,0.67,1.15,0.20,0.13,0.21,0.36,0,716022.00,4339146.00
AY50,-0.35,0.73,1.08,0.26,0.12,0.26,0.40,0,716027.00,4339146.00
AY51,-0.29,0.65,0.94,0.24,0.10,0.24,0.37,0,716032.00,4339146.00
AY52,-0.19,0.66,0.85,0.26,0.09,0.26,0.38,0,716037.00,4339146.00
AY53,-0.28,0.59,0.87,0.24,0.09,0.24,0.35,0,716042.00,4339146.00
AY54,-0.11,0.63,0.73,0.24,0.08,0.24,0.35,0,716047.00,4339146.00
AY55,-0.18,0.58,0.76,0.20,0.08,0.20,0.30,0,716052.00,4339146.00
AY56,-0.18,0.50,0.67,0.18,0.08,0.18,0.29,0,716057.00,4339146.00
AY57,-0.13,0.65,0.78,0.21,0.10,0.21,0.33,1,716062.00,4339146.00
AY58,-0.25,0.68,0.93,0.14,0.10,0.13,0.27,1,716067.00,4339146.00
AY59,-0.30,0.73,1.04,0.12,0.11,0.11,0.25,1,716072.00,4339146.00
AY60,-0.18,0.64,0.82,0.19,0.10,0.20,0.31,1,716077.00,4339146.00
AY61,-0.18,0.58,0.77,0.16,0.10,0.16,0.29,1,716082.00,4339146.00
AY62,-0.08,0.63,0.70,0.23,0.09,0.23,0.34,1,716087.00,4339146.00
AY63,-0.17,0.59,0.76,0.21,0.08,0.21,0.32,1,716092.00,4339146.00
AY64,-0.12,0.72,0.84,0.27,0.09,0.26,0.38,1,716097.00,4339146.00
AY65,-0.04,0.81,0.85,0.37,0.11,0.37,0.52,1,716102.00,4339146.00
AZ47,-0.38,1.00,1.38,0.14,0.13,0.13,0.32,0,716012.00,4339141.00
AZ48,-0.37,1.00,1.37,0.22,0.14,0.22,0.40,0,716017.00,4339141.00
AZ49,-0.40,0.58,0.98,0.17,0.12,0.17,0.32,0,716022.00,4339141.00
AZ50,-0.28,0.63,0.91,0.21,0.10,0.22,0.33,0,716027.00,4339141.00
AZ51,-0.19,0.87,1.06,0.28,0.10,0.27,0.40,0,716032.00,4339141.00
AZ52,-0.06,0.60,0.67,0.26,0.08,0.26,0.36,0,716037.00,4339141.00
AZ53,-0.06,0.56,0.62,0.26,0.07,0.26,0.35,0,716042.00,4339141.00
AZ54,-0.03,0.59,0.62,0.25,0.08,0.25,0.36,0,716047.00,4339141.00
AZ55,-0.18,0.50,0.69,0.22,0.06,0.22,0.30,0,716052.00,4339141.00
AZ56,-0.10,0.72,0.83,0.18,0.08,0.18,0.28,1,716057.00,4339141.00
AZ57,-0.15,0.62,0.78,0.19,0.09,0.19,0.31,1,716062.00,4339141.00
AZ58,-0.23,0.52,0.75,0.11,0.10,0.11,0.24,1,716067.00,4339141.00
AZ59,-0.38,0.78,1.17,0.14,0.12,0.13,0.30,1,716072.00,4339141.00
AZ60,-0.33,0.95,1.28,0.20,0.11,0.20,0.33,1,716077.00,4339141.00
AZ61,-0.19,0.48,0.67,0.14,0.09,0.14,0.25,1,716082.00,4339141.00
AZ62,-0.25,0.57,0.82,0.19,0.08,0.19,0.30,1,716087.00,4339141.00
AZ63,-0.18,0.64,0.81,0.24,0.10,0.24,0.37,1,716092.00,4339141.00
AZ64,-0.11,0.61,0.72,0.25,0.09,0.25,0.36,1,716097.00,4339141.00
AZ65,-0.14,0.70,0.84,0.27,0.09,0.27,0.38,1,716102.00,4339141.00
BA47,-0.17,1.00,1.17,0.28,0.12,0.27,0.44,0,716012.00,4339136.00
BA48,-0.25,0.75,0.99,0.24,0.13,0.25,0.39,0,716017.00,4339136.00
BA49,-0.32,0.72,1.04,0.29,0.11,0.29,0.42,0,716022.00,4339136.00
BA50,-0.34,0.66,0.99,0.25,0.11,0.26,0.39,0,716027.00,4339136.00
BA51,-0.18,0.55,0.73,0.23,0.08,0.22,0.33,0,716032.00,4339136.00
BA52,-0.30,0.70,1.00,0.24,0.10,0.24,0.36,0,716037.00,4339136.00
BA53,-0.07,0.55,0.62,0.25,0.08,0.26,0.36,0,716042.00,4339136.00
BA54,-0.12,0.41,0.52,0.18,0.06,0.18,0.25,0,716047.00,4339136.00
BA55,-0.18,0.70,0.88,0.18,0.09,0.18,0.28,0,716052.00,4339136.00
BA56,-0.15,0.86,1.01,0.18,0.11,0.17,0.31,0,716057.00,4339136.00
BA57,-0.09,0.76,0.85,0.22,0.08,0.21,0.32,1,716062.00,4339136.00
BA61,-0.17,1.00,1.17,0.19,0.11,0.18,0.33,1,716082.00,4339136.00
BA62,-0.11,0.64,0.75,0.16,0.09,0.16,0.28,1,716087.00,4339136.00
BA63,-0.21,0.59,0.80,0.16,0.10,0.16,0.29,1,716092.00,4339136.00
BA64,-0.19,1.00,1.19,0.18,0.14,0.17,0.36,1,716097.00,4339136.00
BA65,-0.09,0.57,0.66,0.21,0.08,0.21,0.31,1,716102.00,4339136.00
BA66,-0.08,0.87,0.95,0.29,0.12,0.28,0.44,1,716107.00,4339136.00
BA67,-0.01,1.00,1.01,0.42,0.16,0.41,0.62,1,716112.00,4339136.00
BA68,-0.27,1.00,1.27,0.30,0.21,0.28,0.57,1,716117.00,4339136.00
BA69,-0.22,1.00,1.22,0.30,0.16,0.29,0.51,1,716122.00,4339136.00
BB47,-0.06,1.00,1.06,0.29,0.16,0.25,0.45,0,716012.00,4339131.00
BB48,-0.25,0.72,0.97,0.24,0.12,0.23,0.40,0,716017.00,4339131.00
BB49,-0.17,0.86,1.03,0.30,0.09,0.32,0.40,0,716022.00,4339131.00
BB50,-0.25,0.79,1.03,0.21,0.10,0.20,0.34,0,716027.00,4339131.00
BB51,-0.10,0.73,0.83,0.25,0.10,0.24,0.37,0,716032.00,4339131.00
BB52,-0.20,0.69,0.89,0.21,0.12,0.21,0.36,0,716037.00,4339131.00
BB53,-0.23,0.59,0.82,0.17,0.08,0.17,0.26,0,716042.00,4339131.00
BB54,-0.20,0.56,0.76,0.18,0.08,0.18,0.28,0,716047.00,4339131.00
BB55,-0.15,0.69,0.83,0.19,0.10,0.19,0.32,1,716052.00,4339131.00
BB56,-0.17,0.80,0.97,0.19,0.10,0.18,0.31,0,716057.00,4339131.00
BB62,-0.29,1.00,1.29,0.27,0.14,0.26,0.45,1,716087.00,4339131.00
BB63,-0.25,1.00,1.25,0.17,0.14,0.16,0.36,1,716092.00,4339131.00
BB64,-0.22,0.85,1.07,0.21,0.13,0.21,0.38,1,716097.00,4339131.00
BB65,-0.15,0.50,0.66,0.19,0.09,0.18,0.30,1,716102.00,4339131.00
BB66,-0.21,0.80,1.01,0.27,0.14,0.27,0.45,1,716107.00,4339131.00
BB67,-0.23,1.00,1.23,0.43,0.18,0.42,0.67,1,716112.00,4339131.00
BB70,-0.31,1.00,1.31,0.48,0.21,0.45,0.77,1,716127.00,4339131.00
BC47,-0.25,1.00,1.25,0.25,0.17,0.22,0.41,0,716012.00,4339126.00
BC48,-0.24,1.00,1.24,0.16,0.13,0.14,0.31,0,716017.00,4339126.00
BC49,-0.10,0.70,0.80,0.29,0.09,0.29,0.40,0,716022.00,4339126.00
BC50,-0.13,0.77,0.89,0.20,0.09,0.20,0.32,0,716027.00,4339126.00
BC51,-0.18,1.00,1.18,0.26,0.12,0.25,0.41,0,716032.00,4339126.00
BC52,-0.14,0.60,0.73,0.14,0.08,0.13,0.24,0,716037.00,4339126.00
BC53,-0.11,0.46,0.57,0.16,0.08,0.16,0.25,0,716042.00,4339126.00
BC54,-0.22,0.55,0.76,0.14,0.09,0.14,0.25,0,716047.00,4339126.00
BC55,-0.30,0.62,0.93,0.17,0.09,0.17,0.28,1,716052.00,4339126.00
BC63,-0.31,1.00,1.31,0.23,0.15,0.22,0.43,1,716092.00,4339126.00
BC64,-0.28,0.79,1.07,0.25,0.13,0.24,0.41,1,716097.00,4339126.00
BC65,-0.34,0.68,1.02,0.22,0.11,0.22,0.37,1,716102.00,4339126.00
BC66,-0.21,1.00,1.21,0.29,0.13,0.29,0.46,1,716107.00,4339126.00
BC67,-0.31,1.00,1.31,0.38,0.17,0.37,0.57,1,716112.00,4339126.00
BD47,-0.69,1.00,1.69,0.19,0.15,0.16,0.34,0,716012.00,4339121.00
BD48,-0.54,1.00,1.54,0.09,0.12,0.09,0.23,0,716017.00,4339121.00
BD49,-0.28,0.83,1.11,0.24,0.11,0.24,0.37,0,716022.00,4339121.00
BD50,-0.08,0.55,0.63,0.24,0.07,0.24,0.32,0,716027.00,4339121.00
BD51,-0.14,0.77,0.91,0.23,0.10,0.23,0.35,0,716032.00,4339121.00
BD52,-0.20,0.49,0.70,0.12,0.08,0.11,0.21,0,716037.00,4339121.00
BD53,-0.11,0.56,0.67,0.14,0.07,0.14,0.23,0,716042.00,4339121.00
BD54,-0.15,0.54,0.70,0.17,0.09,0.17,0.28,0,716047.00,4339121.00
BD64,-0.46,1.00,1.46,0.24,0.17,0.23,0.46,1,716097.00,4339121.00
BD65,-0.26,1.00,1.26,0.26,0.16,0.26,0.46,1,716102.00,4339121.00
BD66,-0.32,1.00,1.32,0.31,0.18,0.29,0.54,1,716107.00,4339121.00
BD67,-0.22,1.00,1.22,0.38,0.20,0.37,0.62,1,716112.00,4339121.00
BE47,-0.52,1.00,1.52,0.12,0.19,0.09,0.31,0,716012.00,4339116.00
BE48,-0.68,1.00,1.68,0.08,0.18,0.05,0.29,0,716017.00,4339116.00
BE49,-0.50,0.91,1.40,0.17,0.13,0.17,0.33,0,716022.00,4339116.00
BE50,-0.17,0.69,0.86,0.26,0.09,0.26,0.37,0,716027.00,4339116.00
BE51,-0.10,0.49,0.58,0.23,0.08,0.24,0.33,0,716032.00,4339116.00
BE52,-0.19,0.76,0.94,0.20,0.10,0.20,0.33,0,716037.00,4339116.00
BE53,-0.21,0.74,0.95,0.13,0.10,0.13,0.26,0,716042.00,4339116.00
BE54,-0.19,0.55,0.74,0.11,0.08,0.10,0.20,0,716047.00,4339116.00
BE65,-0.46,1.00,1.46,0.21,0.18,0.19,0.43,1,716102.00,4339116.00
BE66,-0.51,1.00,1.51,0.16,0.16,0.15,0.37,1,716107.00,4339116.00
BE67,-0.53,1.00,1.53,0.17,0.18,0.17,0.40,1,716112.00,4339116.00
BF48,-0.61,1.00,1.61,0.34,0.30,0.27,0.96,0,716017.00,4339111.00
BF49,-0.48,0.98,1.46,0.20,0.14,0.20,0.37,0,716022.00,4339111.00
BF50,-0.11,0.70,0.81,0.20,0.09,0.19,0.32,0,716027.00,4339111.00
BF51,-0.03,0.57,0.60,0.22,0.06,0.22,0.29,0,716032.00,4339111.00
BF52,-0.07,0.59,0.66,0.18,0.06,0.18,0.25,0,716037.00,4339111.00
BF53,-0.19,0.48,0.67,0.10,0.09,0.10,0.22,0,716042.00,4339111.00
BF54,-0.17,0.43,0.60,0.11,0.09,0.10,0.23,0,716047.00,4339111.00
BF66,-0.61,1.00,1.61,0.09,0.16,0.08,0.29,1,716107.00,4339111.00
BG49,-0.26,1.00,1.26,0.32,0.18,0.28,0.53,0,716022.00,4339106.00
BG50,-0.16,0.68,0.85,0.20,0.10,0.19,0.33,0,716027.00,4339106.00
BG51,-0.12,0.41,0.52,0.17,0.07,0.17,0.25,0,716032.00,4339106.00
BG52,-0.21,0.42,0.62,0.10,0.07,0.11,0.18,0,716037.00,4339106.00
BG53,-0.26,0.48,0.74,0.07,0.09,0.07,0.18,0,716042.00,4339106.00
BG54,-0.22,0.39,0.61,0.09,0.08,0.08,0.19,0,716047.00,4339106.00
BG55,-0.15,0.49,0.64,0.16,0.08,0.16,0.25,0,716052.00,4339106.00
BH50,-0.24,0.94,1.18,0.24,0.11,0.24,0.39,0,716027.00,4339101.00
BH51,-0.33,0.82,1.15,0.10,0.11,0.10,0.23,0,716032.00,4339101.00
BH52,-0.29,1.00,1.29,0.09,0.12,0.08,0.24,0,716037.00,4339101.00
BH53,-0.22,0.38,0.59,0.07,0.07,0.07,0.16,0,716042.00,4339101.00
BH54,-0.20,0.61,0.81,0.09,0.09,0.09,0.21,0,716047.00,4339101.00
BH55,-0.25,0.56,0.81,0.14,0.09,0.14,0.26,0,716052.00,4339101.00
BI51,-0.54,1.00,1.54,0.15,0.16,0.14,0.34,0,716032.00,4339096.00
BI52,-0.30,0.52,0.82,0.02,0.12,0.02,0.17,0,716037.00,4339096.00
BI53,-0.33,0.52,0.86,0.00,0.08,0.00,0.10,0,716042.00,4339096.00
BI54,-0.22,0.45,0.67,0.07,0.07,0.07,0.15,0,716047.00,4339096.00
BI55,-0.22,0.48,0.69,0.08,0.08,0.08,0.19,0,716052.00,4339096.00
BI56,-0.16,0.44,0.59,0.15,0.08,0.15,0.24,0,716057.00,4339096.00
BJ52,-0.31,0.54,0.85,0.02,0.10,0.02,0.15,0,716037.00,4339091.00
BJ53,-0.37,0.69,1.06,0.02,0.10,0.01,0.13,0,716042.00,4339091.00
BJ54,-0.31,0.40,0.71,0.00,0.08,0.00,0.11,0,716047.00,4339091.00
BJ55,-0.30,0.32,0.63,0.02,0.08,0.02,0.12,0,716052.00,4339091.00
BJ56,-0.48,0.43,0.90,0.06,0.07,0.07,0.16,0,716057.00,4339091.00
BJ57,-0.21,0.49,0.70,0.10,0.09,0.10,0.21,0,716062.00,4339091.00
BK52,-0.34,0.67,1.01,0.07,0.12,0.07,0.22,0,716037.00,4339086.00
BK53,-0.46,0.76,1.22,0.00,0.12,-0.01,0.15,0,716042.00,4339086.00
BK54,-0.35,0.34,0.69,-0.04,0.09,-0.03,0.07,0,716047.00,4339086.00
BK55,-0.48,0.35,0.83,-0.06,0.10,-0.07,0.07,0,716052.00,4339086.00
BK56,-0.28,0.31,0.60,0.04,0.08,0.04,0.14,0,716057.00,4339086.00
BK57,-0.25,0.32,0.58,0.06,0.07,0.06,0.14,0,716062.00,4339086.00
BK58,-0.32,0.42,0.74,0.10,0.09,0.10,0.21,0,716067.00,4339086.00
BK59,-0.32,0.53,0.85,0.13,0.09,0.13,0.25,0,716072.00,4339086.00
BK60,-0.23,0.59,0.82,0.13,0.09,0.13,0.25,0,716077.00,4339086.00
BK61,-0.17,0.56,0.73,0.11,0.06,0.11,0.19,0,716082.00,4339086.00
BK62,-0.30,0.50,0.80,0.08,0.10,0.07,0.20,0,716087.00,4339086.00
BK63,-0.44,0.85,1.30,0.14,0.16,0.13,0.35,0,716092.00,4339086.00
BL53,-0.47,0.96,1.43,0.01,0.12,0.02,0.15,0,716042.00,4339081.00
BL54,-0.42,0.41,0.82,-0.07,0.09,-0.08,0.04,0,716047.00,4339081.00
BL55,-0.38,0.36,0.74,-0.07,0.08,-0.07,0.04,0,716052.00,4339081.00
BL56,-0.36,0.38,0.75,-0.04,0.08,-0.04,0.06,0,716057.00,4339081.00
BL57,-0.27,0.25,0.52,0.00,0.07,0.00,0.09,0,716062.00,4339081.00
BL58,-0.23,0.35,0.59,0.04,0.07,0.04,0.13,0,716067.00,4339081.00
BL59,-0.20,0.46,0.66,0.10,0.08,0.10,0.21,0,716072.00,4339081.00
BL60,-0.16,0.90,1.06,0.09,0.10,0.08,0.21,0,716077.00,4339081.00
BL61,-0.21,0.66,0.88,0.08,0.09,0.07,0.19,0,716082.00,4339081.00
BL62,-0.24,0.35,0.59,0.07,0.07,0.07,0.16,0,716087.00,4339081.00
BL63,-0.28,1.00,1.28,0.11,0.11,0.09,0.26,0,716092.00,4339081.00
BL76,-0.43,1.00,1.43,0.21,0.24,0.17,0.55,0,716157.00,4339081.00
BM54,-0.49,0.63,1.12,-0.14,0.10,-0.14,0.00,0,716047.00,4339076.00
BM55,-0.50,0.60,1.10,-0.15,0.10,-0.15,-0.01,0,716052.00,4339076.00
BM56,-0.38,0.45,0.82,-0.02,0.10,-0.02,0.10,0,716057.00,4339076.00
BM57,-0.31,0.32,0.64,-0.02,0.08,-0.02,0.08,0,716062.00,4339076.00
BM58,-0.19,0.40,0.59,0.03,0.07,0.02,0.12,0,716067.00,4339076.00
BM59,-0.21,0.39,0.60,0.05,0.07,0.04,0.13,0,716072.00,4339076.00
BM60,-0.29,0.34,0.63,0.06,0.07,0.06,0.16,0,716077.00,4339076.00
BM61,-0.25,0.47,0.72,0.10,0.09,0.10,0.21,0,716082.00,4339076.00
BM62,-0.24,0.48,0.73,0.08,0.08,0.08,0.17,0,716087.00,4339076.00
BM63,-0.20,0.52,0.72,0.09,0.08,0.09,0.19,0,716092.00,4339076.00
BM74,-0.39,1.00,1.39,0.19,0.17,0.18,0.41,0,716147.00,4339076.00
BM75,-0.30,1.00,1.30,0.15,0.15,0.13,0.35,0,716152.00,4339076.00
BM76,-0.33,0.87,1.20,0.10,0.14,0.08,0.28,0,716157.00,4339076.00
BN54,-0.53,1.00,1.53,-0.03,0.17,-0.07,0.13,0,716047.00,4339071.00
BN55,-0.57,0.51,1.08,-0.16,0.11,-0.17,-0.03,0,716052.00,4339071.00
BN56,-0.40,0.64,1.04,-0.06,0.13,-0.07,0.11,0,716057.00,4339071.00
BN57,-0.22,0.46,0.67,0.05,0.08,0.04,0.15,0,716062.00,4339071.00
BN58,-0.26,0.40,0.67,0.05,0.08,0.05,0.15,0,716067.00,4339071.00
BN59,-0.18,0.27,0.45,0.04,0.06,0.04,0.12,0,716072.00,4339071.00
BN60,-0.24,0.37,0.60,0.05,0.07,0.05,0.14,0,716077.00,4339071.00
BN61,-0.25,0.57,0.82,0.08,0.09,0.08,0.19,0,716082.00,4339071.00
BN62,-0.31,0.70,1.01,0.10,0.11,0.09,0.24,0,716087.00,4339071.00
BN63,-0.19,0.93,1.12,0.12,0.08,0.11,0.22,0,716092.00,4339071.00
BN64,-0.38,1.00,1.38,0.14,0.12,0.14,0.29,0,716097.00,4339071.00
BN74,-0.46,0.95,1.41,0.06,0.13,0.05,0.22,0,716147.00,4339071.00
BN75,-0.43,0.63,1.07,0.06,0.10,0.05,0.19,0,716152.00,4339071.00
BN76,-0.55,0.70,1.25,0.10,0.09,0.09,0.21,0,716157.00,4339071.00
BO55,-0.47,0.70,1.17,-0.05,0.10,-0.06,0.08,0,716052.00,4339066.00
BO56,-0.42,0.87,1.29,0.00,0.12,-0.01,0.14,0,716057.00,4339066.00
